id,createdAt,custom.testCleanScoreStr
66102b99fdeaef1a0c3724c6,2024-04-05,81.25%
6627ad42e0ab6a889af231bb,2024-04-23,62.5
66316383f00e8e753f835596,2024-04-30,76.47
6630fcb4759fa665474e82f8,2024-04-30,78.13
66018bc4946aae2badba879e,2024-03-25,98.33%
65fcf4c1bca5857b0d1c95dd,2024-03-22,90.91%
6601b4de582f154d78384537,2024-03-25,95.83%
660193725803ee0954f8688a,2024-03-25,87.50%
6601b67e797379575bdf1967,2024-03-25,93.33%
663a5c44c7d6dd2e37418690,2024-05-07,93.33
65f4686b0e8b23bfeeb93279,2024-03-15,90%
6606ee397a27b465e1c1882c,2024-03-29,84%
6606c4532a3e2827cabbb0d9,2024-03-29,100.00%
663a3b68022dc71ddbc85e43,2024-05-07,89.06
65fcf3cc2bfb4e3c1e5d3f04,2024-03-22,93.18%
