id,createdAt,custom.reachedStr,custom.interviewedById,custom.cleanerInterviewScoreNum
660178fd3b14b0f3503fcc11,2024-03-25,Reached,64d12920cae98620ad4e3b20, 
66006aa472f4396167b7f499,2024-03-24,Reached,63653f97ed550132964cb541, 
6621594c5b6590225e4610ef,2024-04-18,Reached,630e2bfea5a4ba817057c3ea, 
662279a6651bbd50bc5051c5,2024-04-19,Reached,65b7a9b08b0f06ad612a6bae,0
6621fb7e2592ce9558f08ede,2024-04-19,Reached,65b7a9b08b0f06ad612a6bae, 
662281d07b8c6821d82abe80,2024-04-19,Reached,64d12920cae98620ad4e3b20,9
6627d68e592b97d6bc4b49db,2024-04-23,Attempt #1,64d12920cae98620ad4e3b20, 
6627dd91d7a22f34d47bc46a,2024-04-23,Attempt #1,64d12920cae98620ad4e3b20, 
6627dd91fe27480826151ae2,2024-04-23,Attempt #1,64d12920cae98620ad4e3b20, 
6627bd881e641cffbf762b10,2024-04-23,Reached,65b7a9b08b0f06ad612a6bae, 
6627c7e079fac4c8cdcd9472,2024-04-23,Reached,64d12920cae98620ad4e3b20, 
6633995b3144434963257f6a,2024-05-02,Reached,64d12920cae98620ad4e3b20,10
6633979c5d25492b4305a40a,2024-05-02,Reached,64d12920cae98620ad4e3b20,8
66339b0d5d254905bd069caf,2024-05-02,Reached,64d12920cae98620ad4e3b20,10
66339bef4f35f005e9638d66,2024-05-02,Attempt #1,64d12920cae98620ad4e3b20, 
6633a3aa5a33e5b850ca6e17,2024-05-02,Reached,64d12920cae98620ad4e3b20, 
6627b3a0723c730804d4e1fd,2024-04-23,Reached,65b7a9b08b0f06ad612a6bae,10
6632430e10c93c0eda4b9689,2024-05-01,Reached,64d12920cae98620ad4e3b20, 
6632455bd02208bda52db1f4,2024-05-01,Reached,64d12920cae98620ad4e3b20,10
66324c69abd1682fab6cc70c,2024-05-01,Reached,64d12920cae98620ad4e3b20, 
66324814e255e2643cb7ddd0,2024-05-01,Reached,64d12920cae98620ad4e3b20, 
66324a28897cbc1225d1931e,2024-05-01,Reached,64d12920cae98620ad4e3b20,10
66324d9e5155d07b347541fc,2024-05-01,Attempt #1,64d12920cae98620ad4e3b20, 
66324dd7fda92a0e010e5b0a,2024-05-01,Attempt #1,64d12920cae98620ad4e3b20, 
66324fb42e97603861c5e5a3,2024-05-01,Reached,64d12920cae98620ad4e3b20,10
6632544803d2fbd90836e735,2024-05-01,Rejected - Out of Country,64d12920cae98620ad4e3b20, 
663253b0ec53a8d95d7ec51c,2024-05-01,Reached,64d12920cae98620ad4e3b20,9
66325616c3cffa576c8add5b,2024-05-01,Reached,64d12920cae98620ad4e3b20,8
66325f3f6572d78d902bd76a,2024-05-01,Reached,64d12920cae98620ad4e3b20, 
663260f124c2df720550b66b,2024-05-01,Reached,64d12920cae98620ad4e3b20, 
66326234ddff7e4c7b1742a9,2024-05-01,Reached,65b7a9b08b0f06ad612a6bae,7
663269db5d6604519fbce401,2024-05-01,Reached,65b7a9b08b0f06ad612a6bae,6
66326c2e8d3d79b7387e1eb1,2024-05-01,Reached,65b7a9b08b0f06ad612a6bae,10
6632797c6572d7f9bc30495b,2024-05-01,Reached,65b7a9b08b0f06ad612a6bae,7
66326457b36f3d512d2bdead,2024-05-01,Reached,65b7a9b08b0f06ad612a6bae,5
663270942c8f655e7e3422b3,2024-05-01,Reached,65b7a9b08b0f06ad612a6bae,5
663277e24ca5995d35d602bc,2024-05-01,Reached,65b7a9b08b0f06ad612a6bae, 
66327ea6c4602a526cb1c737,2024-05-01,Reached,65b7a9b08b0f06ad612a6bae,6
6633a7bac12de244319c95c2,2024-05-02,Reached,64d12920cae98620ad4e3b20,4
6633a4c4c12de2de959b9da0,2024-05-02,Reached,64d12920cae98620ad4e3b20,9
6633a9d54ed07b4a0e23ea0c,2024-05-02,Reached,64d12920cae98620ad4e3b20, 
6633bdc4b30f8c839b47e0b9,2024-05-02,Reached,64d12920cae98620ad4e3b20,10
6633bf9cac35121c045362cb,2024-05-02,Reached,64d12920cae98620ad4e3b20,7
6633bc090e23636acd437dbd,2024-05-02,Reached,64d12920cae98620ad4e3b20, 
6633c07a1b32cad5fc473cae,2024-05-02,Attempt #1,64d12920cae98620ad4e3b20, 
66293e0961793f116b876d6c,2024-04-24,Reached,65b7a9b08b0f06ad612a6bae,8
66294784ca49c1baaba53038,2024-04-24,Reached,65b7a9b08b0f06ad612a6bae,9
66214c635bddf2481bacb9b8,2024-04-18,Reached,64d12920cae98620ad4e3b20,8
6629050eca30b0cd212a261d,2024-04-24,Reached,64d12920cae98620ad4e3b20,9
662a515e4bb5f56f1002a52d,2024-04-25, ,64d12920cae98620ad4e3b20, 
662fa6404eeba547f41445b5,2024-04-29,Reached,64d12920cae98620ad4e3b20,10
66269b67a52cacb25306f539,2024-04-22,Reached,65b7a9b08b0f06ad612a6bae,10
662fba8ff59c43d3f63d9ef0,2024-04-29,Reached,64d12920cae98620ad4e3b20,6
662fbc14ef51f5b55a181bee,2024-04-29,Reached,64d12920cae98620ad4e3b20,10
663128ac81c9c871d2d17468,2024-04-30,Reached,65b7a9b08b0f06ad612a6bae,8
6631267d0285f1353462b45e,2024-04-30,Reached,65b7a9b08b0f06ad612a6bae, 
6633c9fbab73b37b1cea00a8,2024-05-02,Reached,65b7a9b08b0f06ad612a6bae,8
6633cfe3b30f8c78654ccfc5,2024-05-02,Reached,65b7a9b08b0f06ad612a6bae,6
6633d258fcff734b4d573585,2024-05-02,Reached,65b7a9b08b0f06ad612a6bae,6
66211d792cca9628d68590dc,2024-04-18,Reached,65b7a9b08b0f06ad612a6bae,10
662fad6cb46481a2499822a1,2024-04-29,Reached,64d12920cae98620ad4e3b20,8
662fbe21fe6bc16891c32a5d,2024-04-29,Reached,64d12920cae98620ad4e3b20,8
6634e2b826c859765df15019,2024-05-03,Reached,65b7a9b08b0f06ad612a6bae,5
